순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,전국 매출액(만 단위)
4895,펠리니를 찾아서,타론 렉스톤,,주식회사 풍경소리,(주)드림팩트엔터테인먼트,2018-07-12,개봉영화,장편,미국,18,24490900,3335,15999200,1953,어드벤처,15,독립/예술영화,2018,24490
4896,릴라 릴라,알랑 그스포너,,(주)부메랑모션픽쳐스,(주)영화사 진진,2011-09-22,개봉영화,장편,독일,14,26583400,3331,22281400,2725,코미디,12,독립/예술영화,2011,26583
4897,호프,마리아 소달,,(주)이놀미디어,(주)이놀미디어,2020-12-17,개봉영화,장편,기타,171,27884010,3330,11031270,1275,드라마,12,독립/예술영화,2020,27884
4898,비행,조성빈,㈜ 써드아이비디오,,"아이 엠,(주)케이티알파",2020-03-19,개봉영화,장편,한국,128,28441440,3326,16686200,1881,드라마,15,독립/예술영화,2020,28441
4899,리슨 투 유어 하트,맷 톰슨,,,퍼즐엔터테인먼트,2011-05-04,개봉영화,장편,미국,8,25534000,3325,13966000,1681,드라마,12,독립/예술영화,2011,25534
4900,뉴 오더,미셸 프랑코,,찬란,찬란,2021-11-11,개봉영화,장편,기타,31,30334470,3324,18760770,1923,스릴러,19,독립/예술영화,2021,30334
4901,쇼크 웨이브 2,구예도,,(주)누리픽쳐스,(주)누리픽쳐스,2021-05-20,개봉영화,장편,중국,61,17952300,3321,9681900,1793,액션,15,일반영화,2021,17952
4902,테르마이 로마이,타케우치 히데키,,(주)수키픽쳐스,브릿지웍스 엔터테인먼트(주),2013-07-18,개봉영화,장편,일본,7,23674500,3319,20595000,2888,코미디,15,독립/예술영화,2013,23674
4903,시라이,,,(주)엔케이컨텐츠,(주)디스테이션,2020-07-15,개봉영화,장편,일본,70,28571620,3305,4506280,498,공포(호러),15,독립/예술영화,2020,28571
4904,"1999, 면회",김태곤,광화문시네마,,㈜인디스토리,2013-02-21,개봉영화,장편,한국,20,23266300,3289,15773300,2179,드라마,15,독립/예술영화,2013,23266
4905,별이 빛나는 밤,수유 린,,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),2012-04-05,개봉영화,장편,대만,20,24180300,3288,16217300,2148,드라마,전체,독립/예술영화,2012,24180
4906,미켈란젤로,,,(주)퍼스트런,(주)퍼스트런,2021-09-29,개봉영화,장편,이탈리아,20,20290320,3285,12439380,2021,드라마,12,독립/예술영화,2021,20290
